Year,Date,Month,Allotment,Plot,Community,Crop_Generic,Plants,Total_Flowers,Beetles,Hoverflies,Flies,Butterflies,Honeybees,Solitary_Bees,Wasps,Terrestris,Lapidarius,Pascuorum,Pratorum,Hypnorum,Hortorum ,Bumblebees
2018,2018-08-14,August,Hoggs,Community_H,Community,Bbean,45.0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Courgette,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Courgette,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Cucumber,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Cucumber,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Cucumber,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Cucumber,10.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Cucumber,3.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Cucumber,8.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Physalis,2.0,60,0,0,0,0,0,0,1,0,0,3,0,0,0,3
2018,2018-08-31,August,Hoggs,Community_H,Community,Raspberry,5.0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-08-31,August,Hoggs,Community_H,Community,Raspberry,30.0,60,0,0,0,0,1,2,2,0,0,2,0,0,0,2
2018,2018-08-31,August,Hoggs,Community_H,Community,Raspberry,20.0,80,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2018,2018-08-31,August,Hoggs,Community_H,Community,Raspberry,50.0,100,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2018,2018-08-31,August,Hoggs,Community_H,Community,Raspberry,50.0,200,0,0,0,0,0,0,0,0,0,3,0,0,0,3
2018,2018-08-31,August,Hoggs,Community_H,Community,Raspberry,100.0,400,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,15.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,20.0,40,0,0,0,0,2,1,0,1,0,1,0,0,0,2
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,30.0,60,0,0,0,0,4,0,0,2,0,2,0,0,0,4
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,20.0,60,0,0,0,0,1,0,0,0,0,2,0,0,0,2
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,20.0,80,0,0,0,0,2,0,0,0,0,1,1,0,0,2
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,50.0,100,0,0,0,0,0,0,0,1,0,1,0,0,0,2
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,50.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,100.0,200,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,100.0,400,0,0,0,0,1,0,0,0,0,1,0,4,0,5
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,100.0,400,0,0,0,0,0,0,0,1,0,0,2,0,0,3
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,10.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,10.0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,10.0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,20.0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,20.0,80,0,0,0,0,0,0,0,1,0,1,0,0,0,2
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,50.0,200,0,0,0,0,2,0,0,0,0,2,0,0,0,2
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,50.0,200,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,100.0,300,0,0,0,0,4,0,0,1,0,1,0,0,0,2
2018,2018-08-02,August,Hoggs,Community_H,Community,Raspberry,100.0,400,0,0,0,0,10,0,0,1,0,2,0,0,0,3
2018,2018-08-14,August,Hoggs,Community_H,Community,Raspberry,100.0,200,0,0,0,0,2,0,0,0,0,2,0,0,0,2
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,3.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,5.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Rbean,10.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,5.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,6.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Rbean,12.0,240,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Rbean,2.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Rbean,6.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Rbean,10.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Rbean,20.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-02,August,Hoggs,Community_H,Community,Rbean,36.0,180,0,0,0,0,2,0,0,1,0,0,0,0,0,1
2018,2018-08-02,August,Hoggs,Community_H,Community,Rbean,24.0,240,0,0,0,0,0,0,0,1,0,1,0,0,0,2
2018,2018-08-31,August,Hoggs,Community_H,Community,Squash,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Squash,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Squash,2.0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Squash,5.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,6.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,6.0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,3.0,8,0,0,0,0,5,0,0,1,0,0,0,0,0,1
2018,2018-08-14,August,Hoggs,Community_H,Community,Squash,15.0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-31,August,Hoggs,Community_H,Community,Tomato,6.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Tomato,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-14,August,Hoggs,Community_H,Community,Tomato,60.0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Blackberry,2.0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,2018-06-08,June,Hoggs,Community_H,Community,Blackberry,1.0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,2018-06-08,June,Hoggs,Community_H,Community,Blackberry,4.0,200,1,0,0,0,0,0,0,1,0,0,1,0,0,2
2018,2018-06-08,June,Hoggs,Community_H,Community,Blackberry,4.0,600,0,0,0,0,1,0,0,0,0,0,1,1,0,2
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,10.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,10.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,20.0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,15.0,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,15.0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,30.0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Bbean,40.0,400,0,0,0,0,0,0,0,1,0,2,0,0,0,3
2018,2018-06-28,June,Hoggs,Community_H,Community,Raspberry,60.0,120,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,2018-06-08,June,Hoggs,Community_H,Community,Raspberry,10.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Raspberry,30.0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,2018-06-08,June,Hoggs,Community_H,Community,Raspberry,30.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Raspberry,50.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Raspberry,50.0,150,0,0,0,0,0,0,0,0,0,0,2,1,0,3
2018,2018-06-28,June,Hoggs,Community_H,Community,Rbean,3.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-28,June,Hoggs,Community_H,Community,Rbean,12.0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Strawberry,3.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-08,June,Hoggs,Community_H,Community,Tomato,5.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,3.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Apple,1.0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,1.0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,3.0,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,3.0,225,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,3.0,300,0,1,0,0,8,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,4.0,600,2,0,0,0,4,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Blackberry,5.0,1000,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Blackberry,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Blueberry,1.0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,3.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,6.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,7.0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,20.0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,30.0,150,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,30.0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,40.0,160,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Bbean,40.0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Bbean,7.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Bbean,12.0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Bbean,20.0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Bbean,100.0,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-05-10,May,Hoggs,Community_H,Community,Currant,1.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Currant,6.0,600,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,5.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,8.0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,8.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,20.0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,25.0,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,12.0,84,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,15.0,150,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,30.0,210,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,30.0,210,0,0,0,0,10,0,0,0,0,1,0,0,0,1
2018,2018-05-25,May,Hoggs,Community_H,Community,Raspberry,40.0,800,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,5.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,3.0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,7.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,9.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,20.0,100,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,25.0,125,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Strawberry,60.0,180,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Strawberry,5.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Strawberry,4.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Strawberry,15.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Strawberry,20.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-10,May,Hoggs,Community_H,Community,Strawberry,60.0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Hoggs,Community_H,Community,Tomato,10.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Christine,Individual,Rbean,4.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-04-26,April,Keston,Christine,Individual,Apple,1.0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-04-26,April,Keston,Christine,Individual,Apple,1.0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-04-26,April,Keston,Christine,Individual,Apple,1.0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-04-26,April,Keston,Christine,Individual,Bbean,16.0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-04-26,April,Keston,Christine,Individual,Gooseberry,2.0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-04-26,April,Keston,Christine,Individual,Strawberry,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Christine,Individual,Courgette,1.0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Christine,Individual,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Christine,Individual,Squash,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-07-26,July,Keston,Christine,Individual,Courgette,2.0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2018,2018-07-26,July,Keston,Christine,Individual,Rbean,7.0,70,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-07-26,July,Keston,Christine,Individual,Squash,3.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-29,June,Keston,Christine,Individual,Courgette,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-29,June,Keston,Christine,Individual,Courgette,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-29,June,Keston,Christine,Individual,Courgette,2.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-05,June,Keston,Christine,Individual,Raspberry,20.0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018,2018-06-29,June,Keston,Christine,Individual,Squash,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-06-29,June,Keston,Christine,Individual,Squash,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-09,May,Keston,Christine,Individual,Apple,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-09,May,Keston,Christine,Individual,Apple,1.0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Keston,Christine,Individual,Bbean,8.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-05-25,May,Keston,Christine,Individual,Raspberry,20.0,140,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2018,2018-09-06,September,Keston,Christine,Individual,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-09-06,September,Keston,Christine,Individual,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-09-06,September,Keston,Christine,Individual,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-09-06,September,Keston,Christine,Individual,Rbean,3.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-09-06,September,Keston,Christine,Individual,Squash,2.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Katherine,Individual,Rbean,4.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-09-06,September,Keston,Katherine,Individual,Rbean,4.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Katherine,Individual,Courgette,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Katherine,Individual,Courgette,3.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,2018-08-24,August,Keston,Katherine,Individual,Raspberry,20.0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,2018-08-24,August,Keston,Katherine,Individual,Squash,3.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Katherine,Individual,Squash,10.0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2018,2018-08-24,August,Keston,Katherine,Individual,Strawberry,4.0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,2018-07-26,July,Keston,Katherine,Individual,Courgette,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-07-26,July,Keston,Katherine,Individual,Raspberry,16.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2018-07-26,July,Keston,Katherine,Individual,Rbean,4.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
