Month,Allotment,Crop,Flowers,Honeybees,Bumblebees,Hoverflies,Terrestris,Lapidarius,Pascuorum,Pratorum,Hypnorum,Hortorum
August,Hoggs,Raspberry,400,1,5,0,0,0,1,0,4,0
August,Hoggs,Raspberry,400,0,3,0,1,0,0,2,0,0
August,Hoggs,Raspberry,20,0,0,0,0,0,0,0,0,0
August,Hoggs,Raspberry,30,0,1,0,0,0,1,0,0,0
August,Hoggs,Raspberry,40,0,0,0,0,0,0,0,0,0
August,Hoggs,Raspberry,40,0,0,0,0,0,0,0,0,0
August,Hoggs,Raspberry,80,0,2,0,1,0,1,0,0,0
August,Hoggs,Raspberry,200,2,2,0,0,0,2,0,0,0
August,Hoggs,Raspberry,200,3,0,0,0,0,0,0,0,0
August,Hoggs,Raspberry,300,4,2,0,1,0,1,0,0,0
August,Hoggs,Raspberry,400,10,3,0,1,0,2,0,0,0
August,Hoggs,Raspberry,200,2,2,0,0,0,2,0,0,0
August,Hoggs,Rbean,15,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,15,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,50,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,15,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,30,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,240,2,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,20,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,30,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,100,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,100,0,0,0,0,0,0,0,0,0
August,Hoggs,Rbean,180,2,1,0,1,0,0,0,0,0
August,Hoggs,Rbean,240,0,2,0,1,0,1,0,0,0
August,Hoggs,Squash,2,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,4,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,6,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,10,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,1,0,1,0,1,0,0,0,0,0
August,Hoggs,Squash,1,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,2,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,2,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,3,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,4,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,4,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,5,0,0,0,0,0,0,0,0,0
August,Hoggs,Squash,6,1,0,0,0,0,0,0,0,0
August,Hoggs,Squash,6,5,0,0,0,0,0,0,0,0
August,Hoggs,Squash,8,5,1,0,1,0,0,0,0,0
August,Hoggs,Squash,225,0,0,0,0,0,0,0,0,0
August,Hoggs,Tomato,30,0,0,0,0,0,0,0,0,0
August,Hoggs,Tomato,10,0,0,0,0,0,0,0,0,0
August,Hoggs,Tomato,120,0,0,0,0,0,0,0,0,0
June,Hoggs,Blackberry,20,0,1,0,0,0,0,1,0,0
June,Hoggs,Blackberry,30,0,1,0,0,0,0,1,0,0
June,Hoggs,Blackberry,200,0,2,0,1,0,0,1,0,0
June,Hoggs,Blackberry,600,1,2,0,0,0,0,1,1,0
June,Hoggs,Bbean,50,0,0,0,0,0,0,0,0,0
June,Hoggs,Bbean,50,0,0,0,0,0,0,0,0,0
June,Hoggs,Bbean,100,0,1,0,1,0,0,0,0,0
June,Hoggs,Bbean,150,0,0,0,0,0,0,0,0,0
June,Hoggs,Bbean,150,0,0,0,0,0,0,0,0,0
June,Hoggs,Bbean,150,0,0,0,0,0,0,0,0,0
June,Hoggs,Bbean,400,0,3,0,1,0,2,0,0,0
June,Hoggs,Raspberry,120,0,1,0,0,0,0,1,0,0
June,Hoggs,Raspberry,30,0,0,0,0,0,0,0,0,0
June,Hoggs,Raspberry,30,0,1,0,0,0,0,1,0,0
June,Hoggs,Raspberry,60,0,0,0,0,0,0,0,0,0
June,Hoggs,Raspberry,100,0,0,0,0,0,0,0,0,0
June,Hoggs,Raspberry,150,0,3,0,0,0,0,2,1,0
June,Hoggs,Rbean,6,0,0,0,0,0,0,0,0,0
June,Hoggs,Rbean,84,0,0,0,0,0,0,0,0,0
June,Hoggs,Strawberry,12,0,0,0,0,0,0,0,0,0
June,Hoggs,Tomato,25,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,10,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,20,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,20,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,30,0,1,0,0,0,1,0,0,0
May,Hoggs,Apple,50,0,1,0,0,0,1,0,0,0
May,Hoggs,Apple,50,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,60,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,75,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,200,0,0,0,0,0,0,0,0,0
May,Hoggs,Apple,500,0,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,30,1,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,20,1,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,150,1,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,225,10,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,300,8,0,1,0,0,0,0,0,0
May,Hoggs,Blackberry,600,4,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,1000,6,0,0,0,0,0,0,0,0
May,Hoggs,Blackberry,10,0,0,0,0,0,0,0,0,0
May,Hoggs,Blueberry,50,0,1,0,1,0,0,0,0,0
May,Hoggs,Bbean,9,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,12,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,56,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,140,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,150,0,1,0,0,0,1,0,0,0
May,Hoggs,Bbean,150,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,160,0,1,0,0,0,1,0,0,0
May,Hoggs,Bbean,280,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,49,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,84,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,160,0,0,0,0,0,0,0,0,0
May,Hoggs,Bbean,1000,0,1,0,0,0,1,0,0,0
May,Hoggs,Currant,100,0,0,0,0,0,0,0,0,0
May,Hoggs,Currant,600,0,1,0,0,0,0,1,0,0
May,Hoggs,Raspberry,3,0,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,10,0,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,24,1,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,48,0,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,60,0,1,0,0,0,0,1,0,0
May,Hoggs,Raspberry,75,7,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,84,4,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,150,1,0,0,0,0,0,0,0,0
May,Hoggs,Raspberry,210,0,1,0,0,0,0,1,0,0
May,Hoggs,Raspberry,210,10,1,0,0,0,1,0,0,0
May,Hoggs,Raspberry,800,3,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,10,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,12,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,21,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,27,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,100,0,0,1,0,0,0,0,0,0
May,Hoggs,Strawberry,125,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,180,0,0,1,0,0,0,0,0,0
May,Hoggs,Strawberry,10,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,20,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,60,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,100,0,0,0,0,0,0,0,0,0
May,Hoggs,Strawberry,300,0,0,0,0,0,0,0,0,0
May,Hoggs,Tomato,20,0,0,0,0,0,0,0,0,0
August,Keston,Rbean,20,0,0,0,0,0,0,0,0,0
April,Keston,Apple,75,0,0,0,0,0,0,0,0,0
April,Keston,Apple,150,0,0,0,0,0,0,0,0,0
April,Keston,Apple,200,0,0,0,0,0,0,0,0,0
April,Keston,Bbean,80,0,0,0,0,0,0,0,0,0
April,Keston,Gooseberry,200,0,0,0,0,0,0,0,0,0
April,Keston,Strawberry,4,0,0,0,0,0,0,0,0,0
August,Keston,Courgette,1,2,0,0,0,0,0,0,0,0
August,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
August,Keston,Squash,6,0,0,0,0,0,0,0,0,0
July,Keston,Courgette,3,0,2,0,2,0,0,0,0,0
July,Keston,Rbean,70,0,1,0,0,0,1,0,0,0
July,Keston,Squash,5,0,0,0,0,0,0,0,0,0
June,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
June,Keston,Courgette,2,0,0,0,0,0,0,0,0,0
June,Keston,Courgette,2,0,0,0,0,0,0,0,0,0
June,Keston,Raspberry,60,0,1,0,0,0,0,0,1,0
June,Keston,Squash,1,0,0,0,0,0,0,0,0,0
June,Keston,Squash,1,0,0,0,0,0,0,0,0,0
May,Keston,Apple,10,0,0,0,0,0,0,0,0,0
May,Keston,Apple,50,1,0,0,0,0,0,0,0,0
May,Keston,Bbean,16,0,0,0,0,0,0,0,0,0
May,Keston,Raspberry,140,5,0,0,0,0,0,0,0,0
September,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
September,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
September,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
September,Keston,Rbean,9,0,0,0,0,0,0,0,0,0
September,Keston,Squash,2,1,0,0,0,0,0,0,0,0
August,Keston,Rbean,40,0,0,0,0,0,0,0,0,0
September,Keston,Rbean,12,0,0,0,0,0,0,0,0,0
August,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
August,Keston,Courgette,3,0,1,0,1,0,0,0,0,0
August,Keston,Raspberry,60,0,1,0,0,0,1,0,0,0
August,Keston,Squash,6,0,0,0,0,0,0,0,0,0
August,Keston,Squash,10,7,0,0,0,0,0,0,0,0
August,Keston,Strawberry,16,0,0,0,0,0,0,0,0,0
July,Keston,Courgette,1,0,0,0,0,0,0,0,0,0
July,Keston,Raspberry,16,0,0,0,0,0,0,0,0,0
July,Keston,Rbean,40,0,0,0,0,0,0,0,0,0
July,Keston,Tomato,10,0,0,0,0,0,0,0,0,0
June,Keston,Courgette,4,0,0,0,0,0,0,0,0,0
June,Keston,Raspberry,40,0,1,0,0,0,1,0,0,0
June,Keston,Squash,1,0,0,0,0,0,0,0,0,0
June,Keston,Strawberry,8,0,0,0,0,0,0,0,0,0
June,Keston,Tomato,30,0,0,0,0,0,0,0,0,0
May,Keston,Apple,20,0,0,0,0,0,0,0,0,0
May,Keston,Apple,20,0,0,0,0,0,0,0,0,0
May,Keston,Blackberry,30,2,0,0,0,0,0,0,0,0
May,Keston,Strawberry,10,0,0,0,0,0,0,0,0,0
May,Keston,Strawberry,32,0,0,1,0,0,0,0,0,0
May,Keston,Strawberry,24,0,0,0,0,0,0,0,0,0
May,Keston,Strawberry,36,0,0,0,0,0,0,0,0,0
May,Keston,Strawberry,125,0,0,0,0,0,0,0,0,0
September,Keston,Courgette,4,1,0,0,0,0,0,0,0,0
September,Keston,Raspberry,10,0,0,0,0,0,0,0,0,0
September,Keston,Raspberry,30,1,0,0,0,0,0,0,0,0
September,Keston,Squash,3,2,0,1,0,0,0,0,0,0
September,Keston,Squash,7,0,0,0,0,0,0,0,0,0
September,Keston,Strawberry,4,0,0,0,0,0,0,0,0,0
September,Keston,Strawberry,30,0,0,0,0,0,0,0,0,0
September,Keston,Strawberry,15,0,1,0,0,0,1,0,0,0
August,Keston,Rbean,50,0,0,0,0,0,0,0,0,0
September,Keston,Rbean,30,0,0,0,0,0,0,0,0,0
August,Keston,Courgette,4,0,0,0,0,0,0,0,0,0
August,Keston,Raspberry,300,0,0,0,0,0,0,0,0,0
August,Keston,Tomato,20,1,0,0,0,0,0,0,0,0
July,Keston,Courgette,4,0,0,0,0,0,0,0,0,0
July,Keston,Raspberry,80,0,2,0,1,0,1,0,0,0
July,Keston,Rbean,300,0,1,0,0,0,1,0,0,0
July,Keston,Tomato,10,0,0,0,0,0,0,0,0,0
June,Keston,Bbean,42,0,0,0,0,0,0,0,0,0
June,Keston,Raspberry,500,0,1,0,0,0,0,0,1,0
June,Keston,Rbean,60,0,0,0,0,0,0,0,0,0
June,Keston,Tomato,9,0,0,0,0,0,0,0,0,0
June,Keston,Tomato,15,0,0,0,0,0,0,0,0,0
May,Keston,Blueberry,50,0,0,0,0,0,0,0,0,0
May,Keston,Bbean,160,0,0,0,0,0,0,0,0,0
May,Keston,Raspberry,350,7,4,0,1,1,0,0,2,0
May,Keston,Tomato,2,0,0,0,0,0,0,0,0,0
September,Keston,Courgette,3,1,0,0,0,0,0,0,0,0
September,Keston,Raspberry,200,1,0,0,0,0,0,0,0,0
September,Keston,Raspberry,600,4,1,0,0,0,1,0,0,0
September,Keston,Rbean,9,2,0,0,0,0,0,0,0,0
May,Keston,Bbean,35,0,0,0,0,0,0,0,0,0
April,Keston,Pear,20,0,0,0,0,0,0,0,0,0
April,Keston,Blueberry,100,0,0,0,0,0,0,0,0,0
April,Keston,Bbean,350,0,0,0,0,0,0,0,0,0
April,Keston,Apple,500,0,0,1,0,0,0,0,0,0
April,Keston,Blueberry,1000,0,0,0,0,0,0,0,0,0
April,Keston,Cherry,1000,0,0,0,0,0,0,0,0,0
May,Keston,Bbean,80,0,0,0,0,0,0,0,0,0
May,Keston,Raspberry,168,3,1,0,0,0,0,1,0,0
April,Keston,Apple,20,0,0,0,0,0,0,0,0,0
June,Keston,Rbean,50,0,0,0,0,0,0,0,0,0
April,Keston,Currant,300,0,0,0,0,0,0,0,0,0
July,Keston,Courgette,7,1,1,0,1,0,0,0,0,0
July,Keston,Cucumber,16,0,0,0,0,0,0,0,0,0
July,Keston,Squash,9,0,0,0,0,0,0,0,0,0
July,Keston,Squash,44,0,0,1,0,0,0,0,0,0
June,Keston,Courgette,4,0,0,0,0,0,0,0,0,0
June,Keston,Cucumber,20,0,0,0,0,0,0,0,0,0
June,Keston,Rbean,84,0,0,0,0,0,0,0,0,0
June,Keston,Squash,9,0,0,0,0,0,0,0,0,0
May,Keston,Strawberry,33,0,0,0,0,0,0,0,0,0
May,Keston,Raspberry,1000,15,7,0,1,4,2,0,0,0
May,Keston,Bbean,160,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Rbean,200,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Rbean,400,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Courgette,12,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Courgette,3,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Cucumber,1,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Raspberry,20,0,1,0,0,0,1,0,0,0
August,Moulsecoomb,Raspberry,150,0,1,0,0,0,1,0,0,0
August,Moulsecoomb,Raspberry,203,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Raspberry,225,0,2,0,0,0,2,0,0,0
August,Moulsecoomb,Raspberry,25,0,2,0,0,0,2,0,0,0
August,Moulsecoomb,Raspberry,225,0,4,0,0,1,3,0,0,0
August,Moulsecoomb,Rbean,30,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Rbean,160,1,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,2,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,9,1,0,0,0,0,0,0,0,0
August,Moulsecoomb,Tomato,15,0,0,0,0,0,0,0,0,0
July,Moulsecoomb,Blackberry,17,0,0,1,0,0,0,0,0,0
July,Moulsecoomb,Courgette,6,0,0,0,0,0,0,0,0,0
July,Moulsecoomb,Cucumber,3,0,1,0,0,0,1,0,0,0
July,Moulsecoomb,Raspberry,20,1,1,0,0,0,1,0,0,0
July,Moulsecoomb,Raspberry,30,0,2,0,1,1,0,0,0,0
July,Moulsecoomb,Raspberry,150,0,6,0,0,0,4,2,0,0
July,Moulsecoomb,Raspberry,225,4,10,0,1,0,7,2,0,0
July,Moulsecoomb,Raspberry,200,2,2,0,1,0,1,0,0,0
July,Moulsecoomb,Raspberry,200,1,6,0,0,0,4,2,0,0
July,Moulsecoomb,Rbean,46,0,0,0,0,0,0,0,0,0
July,Moulsecoomb,Rbean,240,0,1,0,0,0,1,0,0,0
July,Moulsecoomb,Rbean,410,1,2,0,0,0,2,0,0,0
July,Moulsecoomb,Rbean,48,1,0,0,0,0,0,0,0,0
July,Moulsecoomb,Rbean,270,0,0,0,0,0,0,0,0,0
July,Moulsecoomb,Squash,6,0,0,0,0,0,0,0,0,0
July,Moulsecoomb,Squash,10,1,1,0,0,0,1,0,0,0
July,Moulsecoomb,Squash,13,2,2,1,2,0,0,0,0,0
July,Moulsecoomb,Squash,3,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Blackberry,200,1,5,0,5,0,0,0,0,0
June,Moulsecoomb,Blackberry,200,3,6,0,4,0,2,0,0,0
June,Moulsecoomb,Bbean,40,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Raspberry,50,0,1,0,0,0,1,0,0,0
June,Moulsecoomb,Raspberry,75,0,3,0,0,0,1,2,0,0
June,Moulsecoomb,Rbean,165,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Strawberry,5,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Tomato,120,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Tomato,9,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Bbean,119,0,0,2,0,0,0,0,0,0
May,Moulsecoomb,Strawberry,96,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Tomato,90,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Blueberry,20,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Bbean,24,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Bbean,92,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Cherry,50,0,1,4,1,0,0,0,0,0
April,Moulsecoomb,Cherry,80,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Cherry,1000,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Cherry,1000,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Currant,500,0,0,3,0,0,0,0,0,0
April,Moulsecoomb,Currant,1200,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Gooseberry,100,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Gooseberry,200,0,3,0,0,0,0,3,0,0
April,Moulsecoomb,Gooseberry,800,0,0,0,0,0,0,0,0,0
April,Moulsecoomb,Strawberry,8,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Courgette,8,3,0,0,0,0,0,0,0,0
August,Moulsecoomb,Courgette,2,1,0,0,0,0,0,0,0,0
August,Moulsecoomb,Courgette,12,0,1,1,1,0,0,0,0,0
August,Moulsecoomb,Raspberry,60,0,1,0,0,0,1,0,0,0
August,Moulsecoomb,Raspberry,80,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Raspberry,6,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Raspberry,100,0,3,0,0,0,3,0,0,0
August,Moulsecoomb,Raspberry,400,0,1,0,0,0,1,0,0,0
August,Moulsecoomb,Rbean,50,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Rbean,200,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,4,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,24,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,5,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,12,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,35,0,0,0,0,0,0,0,0,0
August,Moulsecoomb,Squash,48,1,0,0,0,0,0,0,0,0
June,Moulsecoomb,Cucumber,10,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Pepper,16,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Raspberry,200,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Rbean,231,0,1,0,0,0,1,0,0,0
June,Moulsecoomb,Tomato,80,0,0,0,0,0,0,0,0,0
June,Moulsecoomb,Tomato,126,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Apple,750,3,1,0,0,0,1,0,0,0
May,Moulsecoomb,Apple,1000,4,0,0,0,0,0,0,0,0
May,Moulsecoomb,Blackberry,40,2,1,0,0,0,1,0,0,0
May,Moulsecoomb,Blueberry,100,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Blueberry,50,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Bbean,140,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Bbean,180,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Bbean,300,0,2,0,0,0,2,0,0,0
May,Moulsecoomb,Bbean,75,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Cucumber,2,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Currant,900,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Currant,1300,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Gooseberry,200,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Pear,500,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Raspberry,24,0,0,0,0,0,0,0,0,0
May,Moulsecoomb,Tomato,50,0,0,0,0,0,0,0,0,0
September,Moulsecoomb,Courgette,3,0,0,0,0,0,0,0,0,0
September,Moulsecoomb,Raspberry,80,0,0,0,0,0,0,0,0,0
September,Moulsecoomb,Raspberry,400,0,0,0,0,0,0,0,0,0
September,Moulsecoomb,Rbean,25,0,0,0,0,0,0,0,0,0
September,Moulsecoomb,Squash,30,0,0,2,0,0,0,0,0,0
July,Moulsecoomb_Est,Courgette,1,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Cucumber,15,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Cucumber,2,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Pepper,5,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Pepper,6,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Rbean,25,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Strawberry,3,0,0,0,0,0,0,0,0,0
July,Moulsecoomb_Est,Tomato,15,0,0,0,0,0,0,0,0,0
April,Racehill,Cherry,6,1,0,0,0,0,0,0,0,0
April,Racehill,Cherry,30,0,0,0,0,0,0,0,0,0
April,Racehill,Cherry,100,0,0,0,0,0,0,0,0,0
April,Racehill,Cherry,200,0,0,0,0,0,0,0,0,0
April,Racehill,Cherry,200,0,0,0,0,0,0,0,0,0
April,Racehill,Currant,1000,0,2,0,2,0,0,0,0,0
April,Racehill,Gooseberry,100,1,1,0,0,0,0,1,0,0
April,Racehill,Gooseberry,100,0,2,0,1,0,1,0,0,0
April,Racehill,Plum,50,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,50,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,60,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,60,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,60,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,75,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,90,0,0,0,0,0,0,0,0,0
April,Racehill,Plum,100,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,10,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,10,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,20,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,30,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,50,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,80,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,120,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,140,0,0,0,0,0,0,0,0,0
May,Racehill,Apple,180,0,0,1,0,0,0,0,0,0
